stiffness,height
2.000000000000000000e+02,-1.423167278596304541e-01
2.054663359774408491e+02,-1.438853769258763293e-01
2.110820760999730226e+02,-1.454863299340471983e-01
2.168513038338637386e+02,-1.471791292878741331e-01
2.227782142533737328e+02,-1.488546450704388846e-01
2.288671170911899537e+02,-1.505445858735416920e-01
2.351224398722336275e+02,-1.522766546919491759e-01
2.415487311331199294e+02,-1.540684373153213826e-01
2.481506637296104714e+02,-1.557750784862523830e-01
2.549330382344654140e+02,-1.575868886886189202e-01
2.619007864281622346e+02,-1.594597839261986394e-01
2.690589748850237584e+02,-1.613636179107960089e-01
2.764128086573605287e+02,-1.632037571854292324e-01
2.839676350603065771e+02,-1.650972266164938418e-01
2.917289475601009485e+02,-1.670463551820811077e-01
2.997023897686446503e+02,-1.689525425277880188e-01
3.078937595472312978e+02,-1.708611369343584485e-01
3.163090132224440367e+02,-1.728248232067732815e-01
3.249542699172773155e+02,-1.748937878774761145e-01
3.338358160006361572e+02,-1.769918843253206475e-01
3.429601096584491415e+02,-1.789710669625685924e-01
3.523337855897142958e+02,-1.812075862643922619e-01
3.619636598308992461e+02,-1.832077629077932812e-01
3.718567347121982039e+02,-1.855311008651394644e-01
3.820202039492526751e+02,-1.875546819015827538e-01
3.924614578740381035e+02,-1.898196788834969340e-01
4.031880888087167705e+02,-1.921485141148844278e-01
4.142078965863702251e+02,-1.943061951934925702e-01
4.255288942226210906e+02,-1.965863287213345245e-01
4.371593137422693189e+02,-1.989522069696096906e-01
4.491076121651828430e+02,-2.013669288035568883e-01
4.613824776557883069e+02,-2.038066144291930115e-01
4.739928358406414191e+02,-2.062548475513628077e-01
4.869478562986659540e+02,-2.087015008424613072e-01
5.002569592287813975e+02,-2.111510672628211793e-01
5.139298222997680341e+02,-2.136174392709859760e-01
5.279763876873530535e+02,-2.161261151858919760e-01
5.424068693036261948e+02,-2.187155916439307290e-01
5.572317602240534598e+02,-2.214383738911358535e-01
5.724618403174800960e+02,-2.241540696433794722e-01
5.881081840846771911e+02,-2.266749341391527395e-01
6.041821687111246320e+02,-2.294557240030092871e-01
6.206954823398938288e+02,-2.323008066710530173e-01
6.376601325706416219e+02,-2.349361742713380607e-01
6.550884551908945923e+02,-2.380550679917856627e-01
6.729931231459752325e+02,-2.406229867955422819e-01
6.913871557540900312e+02,-2.438027224548129368e-01
7.102839281732854033e+02,-2.464741927518501186e-01
7.296971811271436081e+02,-2.495555417582746571e-01
7.496410308963052103e+02,-2.526063026246463394e-01
7.701299795830767607e+02,-2.554963138831300995e-01
7.911789256565804180e+02,-2.587112504543611635e-01
8.128031747861282383e+02,-2.620126818869508156e-01
8.350184509706859899e+02,-2.649505456457239561e-01
8.578409079725258835e+02,-2.680882714548316059e-01
8.812871410633795222e+02,-2.713777191507578124e-01
9.053741990916322493e+02,-2.747749142911146691e-01
9.301195968793385873e+02,-2.782407193301468240e-01
9.555413279580600374e+02,-2.817446195931623265e-01
9.816578776528036769e+02,-2.851394636735253840e-01
1.008488236523561341e+03,-2.885731962652204885e-01
1.036051914174234525e+03,-2.920995534773140889e-01
1.064368953438969811e+03,-2.957229535452130520e-01
1.093459944956242225e+03,-2.992274863276289665e-01
1.123346042141266025e+03,-3.027192286830286960e-01
1.154048976567628870e+03,-3.062559700433560295e-01
1.185591073769329796e+03,-3.098824575268332993e-01
1.217995269474719862e+03,-3.136549345547798850e-01
1.251285126284131820e+03,-3.176412292578989494e-01
1.285484850803349673e+03,-3.218889423486546164e-01
1.320619311245355675e+03,-3.253730356495729836e-01
1.356714055513173889e+03,-3.291919088351162870e-01
1.393795329776930657e+03,-3.334719673106931737e-01
1.431890097558673688e+03,-3.375806816242423736e-01
1.471026059338804998e+03,-3.413635908503316330e-01
1.511231672698388593e+03,-3.458819283668210787e-01
1.552536173011985056e+03,-3.499045714694553055e-01
1.594969594706052249e+03,-3.540707271259702082e-01
1.638562793098381690e+03,-3.587770080439227627e-01
1.683347466834429952e+03,-3.626788611232383275e-01
1.729356180936884584e+03,-3.677544860522781178e-01
1.776622390485207688e+03,-3.715624180971088819e-01
1.825180464942388880e+03,-3.767200650972997167e-01
1.875065713146572762e+03,-3.806995260906003153e-01
1.926314408985766931e+03,-3.856863133399919263e-01
1.978963817774274958e+03,-3.902117348231302074e-01
2.033052223350040776e+03,-3.948176071996023495e-01
2.088618955912612819e+03,-4.003877631394674452e-01
2.145704420621960708e+03,-4.044549105657733179e-01
2.204350126978959452e+03,-4.095227631138120827e-01
2.264598719008865828e+03,-4.151432271800405971e-01
2.326494006269786496e+03,-4.194371605072220177e-01
2.390080995708651699e+03,-4.245135612254156143e-01
2.455405924387850973e+03,-4.302945006803948758e-01
2.522516293106364174e+03,-4.353758823933251421e-01
2.591460900939804105e+03,-4.401661807809587046e-01
2.662289880724496470e+03,-4.454832955818668339e-01
2.735054735511401759e+03,-4.512594344718561246e-01
2.809808376016378133e+03,-4.574268037181221658e-01
2.886605159094042847e+03,-4.625255629180093919e-01
2.965500927263153244e+03,-4.676917884371265544e-01
3.046553049312314215e+03,-4.731502153499098640e-01
3.129820462015503836e+03,-4.788487154529637024e-01
3.215363712987733379e+03,-4.847414673972556542e-01
3.303245004712046011e+03,-4.907848773871599235e-01
3.393528239769842003e+03,-4.969396744835377078e-01
3.486279067307418700e+03,-5.031713423097627924e-01
3.581564930772526168e+03,-5.094486829272235617e-01
3.679455116955637095e+03,-5.157497840285705237e-01
3.780020806371600429e+03,-5.220572686125994899e-01
3.883335125018320468e+03,-5.283604111808291037e-01
3.989473197550057193e+03,-5.346546168339609828e-01
4.098512201904071844e+03,-5.409440149031916611e-01
4.210531425420314008e+03,-5.472428556704440616e-01
4.325612322494916043e+03,-5.535732172400082973e-01
4.443838573809493028e+03,-5.599646917569467419e-01
4.565296147179264153e+03,-5.664615241533774714e-01
4.690073360064254302e+03,-5.731180718703603461e-01
4.818260943789034172e+03,-5.799995301021203531e-01
4.949952109517689678e+03,-5.871838686879105040e-01
5.085242616032018304e+03,-5.947657479325441088e-01
5.224230839362174265e+03,-6.028526702287066996e-01
5.367017844320474978e+03,-6.096040732655310102e-01
5.513707457990355579e+03,-6.159344909968282877e-01
5.664406345223837889e+03,-6.228136365398002638e-01
5.819224086202543731e+03,-6.303986686939619943e-01
5.978273256118540303e+03,-6.388646076098218884e-01
6.141669507033006084e+03,-6.473433963522827739e-01
6.309531651972235522e+03,-6.534727978045862251e-01
6.481981751322123273e+03,-6.606714275894880473e-01
6.659145201583951348e+03,-6.691822128521813795e-01
6.841150826556056018e+03,-6.792044041263549659e-01
7.028130971007561129e+03,-6.850233159914842496e-01
7.220221596912485438e+03,-6.924835144835910228e-01
7.417562382313974922e+03,-7.019122348334665418e-01
7.620296822890748444e+03,-7.106948260218031166e-01
7.828572336299477683e+03,-7.172818336609383394e-01
8.042540369369036853e+03,-7.263458567121929832e-01
8.262356508224547724e+03,-7.367714390570974103e-01
8.488180591421300051e+03,-7.428941767105725624e-01
8.720176826170796630e+03,-7.521527471052955605e-01
8.958513907743514210e+03,-7.627420905740369683e-01
9.203365142135025962e+03,-7.690974439921780537e-01
9.454908572084903426e+03,-7.794166172439935814e-01
9.713327106539911256e+03,-7.886119125610999703e-01
9.978808653655563830e+03,-7.962415799262347882e-01
1.025154625743294127e+04,-8.088614331782859601e-01
1.053173823808996349e+04,-8.150355102372741634e-01
1.081958833626926571e+04,-8.253878433116876856e-01
1.111530586118750580e+04,-8.353277235573548509e-01
1.141910584283384742e+04,-8.434624473391232335e-01
1.173120918832826101e+04,-8.566716625368688831e-01
1.205184284255350212e+04,-8.627041856549646504e-01
1.238123995317704248e+04,-8.763073518164956610e-01
1.271964004018394007e+04,-8.827756882974395758e-01
1.306728917004271170e+04,-8.952482703040325340e-01
1.342444013463185001e+04,-9.033917084153091359e-01
1.379135263505654257e+04,-9.150910787570443183e-01
1.416829347048945783e+04,-9.243355674187681004e-01
1.455553673217284086e+04,-9.357182847030238726e-01
1.495336400272303217e+04,-9.454649807159500874e-01
1.536206456088229970e+04,-9.570966740376780635e-01
1.578193559186686616e+04,-9.667253027029341084e-01
1.621328240346427810e+04,-9.792933770556113693e-01
1.665641864803657154e+04,-9.881684119972224956e-01
1.711166655059196637e+04,-1.002494046262718097e+00
1.757935714308932438e+04,-1.009964478828066614e+00
1.805983050514707793e+04,-1.027016986975910040e+00
1.855343601133092307e+04,-1.032418281154321882e+00
