stiffness,height
2.000000000000000000e+02,-2.599441265024271530e-01
2.054663359774408491e+02,-2.633615896461165562e-01
2.110820760999730226e+02,-2.663390546589949892e-01
2.168513038338637386e+02,-2.694400615829311008e-01
2.227782142533737328e+02,-2.726863094678373400e-01
2.288671170911899537e+02,-2.760379529481271632e-01
2.351224398722336275e+02,-2.794588396984938328e-01
2.415487311331199294e+02,-2.829224505496341635e-01
2.481506637296104714e+02,-2.864067109483743323e-01
2.549330382344654140e+02,-2.898990764259457009e-01
2.619007864281622346e+02,-2.933961088871983591e-01
2.690589748850237584e+02,-2.968998634374715451e-01
2.764128086573605287e+02,-3.004281664656973660e-01
2.839676350603065771e+02,-3.040057587444913167e-01
2.917289475601009485e+02,-3.076683704500009497e-01
2.997023897686446503e+02,-3.114682554291636762e-01
3.078937595472312978e+02,-3.154689342233627514e-01
3.163090132224440367e+02,-3.195053753172221178e-01
3.249542699172773155e+02,-3.230305068664396373e-01
3.338358160006361572e+02,-3.268561875647648662e-01
3.429601096584491415e+02,-3.311006201654471681e-01
3.523337855897142958e+02,-3.352079749113325846e-01
3.619636598308992461e+02,-3.389427118678618456e-01
3.718567347121982039e+02,-3.433446677663445357e-01
3.820202039492526751e+02,-3.475027057557262822e-01
3.924614578740381035e+02,-3.515028885718871621e-01
4.031880888087167705e+02,-3.564349138655762417e-01
4.142078965863702251e+02,-3.600949848843111312e-01
4.255288942226210906e+02,-3.650548778894613378e-01
4.371593137422693189e+02,-3.689380204354071324e-01
4.491076121651828430e+02,-3.740119450662477973e-01
4.613824776557883069e+02,-3.779645599193317551e-01
4.739928358406414191e+02,-3.833849200665921941e-01
4.869478562986659540e+02,-3.872433330019449116e-01
5.002569592287813975e+02,-3.923223808395297496e-01
5.139298222997680341e+02,-3.970022049364629879e-01
5.279763876873530535e+02,-4.015621890467500066e-01
5.424068693036261948e+02,-4.071663791990740577e-01
5.572317602240534598e+02,-4.115760157239147787e-01
5.724618403174800960e+02,-4.163953316656092696e-01
5.881081840846771911e+02,-4.220317263452884049e-01
6.041821687111246320e+02,-4.270668826325225709e-01
6.206954823398938288e+02,-4.317695746528515954e-01
6.376601325706416219e+02,-4.370923611347752313e-01
6.550884551908945923e+02,-4.429633875240437391e-01
6.729931231459752325e+02,-4.484686611954895596e-01
6.913871557540900312e+02,-4.533289040086954103e-01
7.102839281732854033e+02,-4.585960984967467624e-01
7.296971811271436081e+02,-4.642090933085372129e-01
7.496410308963052103e+02,-4.701085223375320865e-01
7.701299795830767607e+02,-4.762385620846814049e-01
7.911789256565804180e+02,-4.825472386280296178e-01
8.128031747861282383e+02,-4.880307360963964669e-01
8.350184509706859899e+02,-4.935951632895845265e-01
8.578409079725258835e+02,-4.993340563802952659e-01
8.812871410633795222e+02,-5.052195211187400226e-01
9.053741990916322493e+02,-5.112317848193792535e-01
9.301195968793385873e+02,-5.173555719568763145e-01
9.555413279580600374e+02,-5.235819711842037982e-01
9.816578776528036769e+02,-5.299078315075331780e-01
1.008488236523561341e+03,-5.363416134983252093e-01
1.036051914174234525e+03,-5.428981464397990564e-01
1.064368953438969811e+03,-5.496013176606084905e-01
1.093459944956242225e+03,-5.564827165459402813e-01
1.123346042141266025e+03,-5.635884133368933568e-01
1.154048976567628870e+03,-5.709738793805132495e-01
1.185591073769329796e+03,-5.773073573393485702e-01
1.217995269474719862e+03,-5.835760133833418628e-01
1.251285126284131820e+03,-5.900615280999477186e-01
1.285484850803349673e+03,-5.968565856565799521e-01
1.320619311245355675e+03,-6.040663023771348783e-01
1.356714055513173889e+03,-6.118146790384981770e-01
1.393795329776930657e+03,-6.202422039154695810e-01
1.431890097558673688e+03,-6.272494071300682705e-01
1.471026059338804998e+03,-6.336334276021164946e-01
1.511231672698388593e+03,-6.408057097979824590e-01
1.552536173011985056e+03,-6.489648129838503365e-01
1.594969594706052249e+03,-6.583295165531186655e-01
1.638562793098381690e+03,-6.649022698681266164e-01
1.683347466834429952e+03,-6.717724065818764245e-01
1.729356180936884584e+03,-6.801288808243612927e-01
1.776622390485207688e+03,-6.902662847852782946e-01
1.825180464942388880e+03,-6.965925432849608967e-01
1.875065713146572762e+03,-7.040173613439848488e-01
1.926314408985766931e+03,-7.136703074595045493e-01
1.978963817774274958e+03,-7.223526928512198353e-01
2.033052223350040776e+03,-7.291353323463938274e-01
2.088618955912612819e+03,-7.387276005094145503e-01
2.145704420621960708e+03,-7.483327361232854358e-01
2.204350126978959452e+03,-7.550240393088891722e-01
2.264598719008865828e+03,-7.652626224916980746e-01
2.326494006269786496e+03,-7.742742934030300006e-01
2.390080995708651699e+03,-7.817369617442757601e-01
2.455405924387850973e+03,-7.936684770579973680e-01
2.522516293106364174e+03,-8.004969957202803243e-01
2.591460900939804105e+03,-8.099653664144308429e-01
2.662289880724496470e+03,-8.210414401097172465e-01
2.735054735511401759e+03,-8.280378642175363346e-01
2.809808376016378133e+03,-8.411926881020792557e-01
2.886605159094042847e+03,-8.474566163440493405e-01
2.965500927263153244e+03,-8.588094198435740623e-01
3.046553049312314215e+03,-8.678307755520120459e-01
3.129820462015503836e+03,-8.775708070725167786e-01
3.215363712987733379e+03,-8.888105992858430504e-01
3.303245004712046011e+03,-8.972045431783115532e-01
3.393528239769842003e+03,-9.101022373611367122e-01
3.486279067307418700e+03,-9.175087829936328099e-01
3.581564930772526168e+03,-9.314787964772959228e-01
3.679455116955637095e+03,-9.383521358234059306e-01
3.780020806371600429e+03,-9.527895099399530388e-01
3.883335125018320468e+03,-9.596933301511128001e-01
3.989473197550057193e+03,-9.739732167493642123e-01
4.098512201904071844e+03,-9.815948931942757305e-01
4.210531425420314008e+03,-9.950714496919923491e-01
4.325612322494916043e+03,-1.004235238402510166e+00
4.443838573809493028e+03,-1.016249437342520601e+00
4.565296147179264153e+03,-1.027926684040237237e+00
4.690073360064254302e+03,-1.037806454461970507e+00
4.818260943789034172e+03,-1.053133356368358253e+00
4.949952109517689678e+03,-1.060194970885022681e+00
5.085242616032018304e+03,-1.078133433212350223e+00
5.224230839362174265e+03,-1.084046211056888254e+00
5.367017844320474978e+03,-1.098279118713266111e+00
5.513707457990355579e+03,-1.110185053764333407e+00
5.664406345223837889e+03,-1.119996385397529437e+00
5.819224086202543731e+03,-1.139653075673303206e+00
5.978273256118540303e+03,-1.144333570500959851e+00
6.141669507033006084e+03,-1.159450871170622843e+00
6.309531651972235522e+03,-1.172585092904784965e+00
6.481981751322123273e+03,-1.181600358063389589e+00
6.659145201583951348e+03,-1.200995517445223815e+00
6.841150826556056018e+03,-1.208518965275322987e+00
7.028130971007561129e+03,-1.220811627004786626e+00
7.220221596912485438e+03,-1.242100273391342657e+00
7.417562382313974922e+03,-1.246571633193231499e+00
7.620296822890748444e+03,-1.261024762009676170e+00
7.828572336299477683e+03,-1.280540646033585528e+00
8.042540369369036853e+03,-1.286144217003512225e+00
8.262356508224547724e+03,-1.301582864439305709e+00
8.488180591421300051e+03,-1.321437034761688167e+00
8.720176826170796630e+03,-1.326991195341900021e+00
8.958513907743514210e+03,-1.342202480060329606e+00
9.203365142135025962e+03,-1.365020904626538023e+00
9.454908572084903426e+03,-1.369308621916544233e+00
9.713327106539911256e+03,-1.383039526242874295e+00
9.978808653655563830e+03,-1.406363376208728866e+00
1.025154625743294127e+04,-1.413815818389864809e+00
1.053173823808996349e+04,-1.424791587196653442e+00
1.081958833626926571e+04,-1.445120154427770753e+00
1.111530586118750580e+04,-1.461854579637202445e+00
1.141910584283384742e+04,-1.468792384745905011e+00
1.173120918832826101e+04,-1.484806666375478645e+00
1.205184284255350212e+04,-1.510008700600360410e+00
1.238123995317704248e+04,-1.517122907093944928e+00
1.271964004018394007e+04,-1.527506658118656713e+00
1.306728917004271170e+04,-1.546783593220027342e+00
1.342444013463185001e+04,-1.572720138650566479e+00
1.379135263505654257e+04,-1.576194264566729508e+00
1.416829347048945783e+04,-1.588210527771761527e+00
1.455553673217284086e+04,-1.608890059352582114e+00
1.495336400272303217e+04,-1.634847148946344753e+00
1.536206456088229970e+04,-1.638336241960309358e+00
1.578193559186686616e+04,-1.650105445683459848e+00
1.621328240346427810e+04,-1.670266179393925299e+00
1.665641864803657154e+04,-1.698861950616131988e+00
1.711166655059196637e+04,-1.703991730714425668e+00
1.757935714308932438e+04,-1.713597493544226413e+00
1.805983050514707793e+04,-1.731284025241973890e+00
1.855343601133092307e+04,-1.757102227358947388e+00
1.906053258520034433e+04,-1.775069730637911736e+00
1.958148896029866592e+04,-1.780595821498613951e+00
2.011668394827633165e+04,-1.793845552080135075e+00
2.066650671434271862e+04,-1.814892710393158470e+00
2.123135706024584579e+04,-1.843746394405774591e+00
2.181164571498746591e+04,-1.854826923481581513e+00
2.240779463348256468e+04,-1.861721922446384792e+00
2.302023730338312089e+04,-1.876026372556798716e+00
2.364941906028666563e+04,-1.897786247189629627e+00
2.429579741156076489e+04,-1.926995012234457683e+00
2.495984236901790791e+04,-1.940894281858015269e+00
2.564203679068298152e+04,-1.946580157193804617e+00
2.634287673190184069e+04,-1.959300982062425867e+00
2.706287180604620517e+04,-1.979100890832858450e+00
2.780254555507756231e+04,-2.005972427978690131e+00
2.856243583023829342e+04,-2.035254274537829033e+00
2.934309518314923844e+04,-2.037183039760544379e+00
3.014509126759477658e+04,-2.045711416990214637e+00
3.096900725229123054e+04,-2.060903090506760460e+00
3.181544224493535876e+04,-2.082768490510458648e+00
3.268501172784376467e+04,-2.111261371310508839e+00
3.357834800549870124e+04,-2.139033439691989891e+00
3.449610066432606254e+04,-2.140894684858493768e+00
3.543893704504027119e+04,-2.148932485918416901e+00
3.640754272789801325e+04,-2.163198692961426417e+00
3.740262203121671337e+04,-2.183689693143553878e+00
3.842489852351593436e+04,-2.210358108384227638e+00
3.947511554965897813e+04,-2.243101863852551503e+00
4.055403677137265186e+04,-2.253367996760296865e+00
4.166244672254171746e+04,-2.257660502162001315e+00
4.280115137967992632e+04,-2.267689969184930376e+00
4.397097874799311103e+04,-2.283471049332643332e+00
4.517277946346031240e+04,-2.304973476469048599e+00
4.640742741137078701e+04,-2.332120589725388271e+00
4.767582036176713882e+04,-2.364788317802207995e+00
4.897888062225470640e+04,-2.379322695192135573e+00
5.031755570865586196e+04,-2.382054088328780850e+00
5.169281903399130533e+04,-2.390004265303692144e+00
5.310567061629553064e+04,-2.403181785493427203e+00
5.455713780577541911e+04,-2.421561096249379208e+00
5.604827603184495820e+04,-2.445070494872429556e+00
5.758016957057700347e+04,-2.473598341598331363e+00
5.915393233313094970e+04,-2.506991882559278295e+00
6.077070867572942370e+04,-2.518842316684872351e+00
6.243167423177287128e+04,-2.520950145326037450e+00
6.413803676669803826e+04,-2.527717925841400870e+00
6.589103705619902757e+04,-2.539143178559924330e+00
6.769194978845510923e+04,-2.555193644106396711e+00
6.954208449101370934e+04,-2.575799362761783229e+00
7.144278648301100475e+04,-2.600854209932042416e+00
7.339543785341453622e+04,-2.630215524345983713e+00
7.540145846600526420e+04,-2.663704049408390784e+00
7.746230699182643730e+04,-2.673337669220848589e+00
7.957948196985137474e+04,-2.674543218231606012e+00
8.175452289664089039e+04,-2.679796183570978929e+00
8.398901134578281199e+04,-2.689088745525999968e+00
