stiffness,height
2.000000000000000000e+02,1.711496024324077325e-03
2.021778944509092639e+02,2.972841235475698340e-03
2.043795050230150423e+02,-3.337740217319584701e-03
2.066050899723612702e+02,-1.640424948324614718e-03
2.088549103672633294e+02,-5.748430741281396195e-05
2.111292301189333784e+02,1.415608425832104444e-03
2.134283160124372216e+02,2.780210803105198636e-03
2.157524377379891973e+02,-4.261724671047240065e-03
2.181018679225879566e+02,-2.810976590471803149e-03
2.204768821619956896e+02,-1.457937206564174915e-03
2.228777590530676207e+02,-1.986197580050585998e-04
2.253047802264314328e+02,9.709894342773139897e-04
2.277582303795238090e+02,2.054725698227066744e-03
2.302383973099864249e+02,2.921560025310299125e-03
2.327455719494247148e+02,-4.335538024498930554e-03
2.352800483975364614e+02,-3.265124433627697442e-03
2.378421239566097540e+02,-2.272530200471578610e-03
2.404320991663978475e+02,-1.354487420907268813e-03
2.430502778393726544e+02,-5.078189593961113246e-04
2.456969670963642614e+02,2.705772476323531350e-04
2.483724774025862700e+02,9.837077394241333650e-04
2.510771226040546651e+02,1.634413106872401045e-03
2.538112199644028237e+02,2.225455214842853024e-03
2.565750902020979538e+02,2.756183430037140170e-03
2.593690575280614325e+02,2.913838880755470484e-03
2.621934496837010897e+02,-4.715829001272098253e-03
2.650485979793555202e+02,-4.226812556598957826e-03
2.679348373331583275e+02,-3.795301962379760141e-03
2.708525063103241450e+02,-3.419616577200912388e-03
2.738019471628647352e+02,-3.098222777956571861e-03
2.767835058697355066e+02,-2.829749234776635092e-03
2.797975321774200097e+02,-2.612993376006400581e-03
2.828443796409568449e+02,-2.446928000992443231e-03
2.859244056654113706e+02,-2.330708043635887350e-03
2.890379715478024991e+02,-2.263677489853677116e-03
2.921854425194826490e+02,-2.245376451598168899e-03
2.953671877889808570e+02,-2.275548400707982921e-03
2.985835805853126317e+02,-2.354147565333697401e-03
3.018349982017594471e+02,-2.481346492010594318e-03
3.051218220401285066e+02,-2.657543776268589397e-03
3.084444376554911287e+02,-2.883371964666814335e-03
3.118032348014097010e+02,-3.159705631112785795e-03
3.151986074756577523e+02,-3.487669630420242584e-03
3.186309539664355270e+02,-3.868647531678703899e-03
3.221006768990926616e+02,-4.304259650756314670e-03
3.256081832833558565e+02,-4.796448551514842507e-03
3.291538845610731983e+02,2.853969449949644854e-03
3.327381966544774627e+02,2.725158235503677417e-03
3.363615400149741390e+02,2.236313094417852199e-03
3.400243396724636682e+02,1.691589969468054733e-03
3.437270252851973851e+02,1.094298137743088262e-03
3.474700311901782470e+02,4.411033266968900080e-04
3.512537964541103861e+02,-2.716450112885127055e-04
3.550787649249014635e+02,-1.047964649892207945e-03
3.589453852837297063e+02,-1.892270945551111083e-03
3.628541110976743198e+02,-2.809307972153618493e-03
3.668054008729208135e+02,-3.804176703893880074e-03
3.707997181085442548e+02,-4.882324980424179728e-03
3.748375313508807949e+02,2.681779761760871850e-03
3.789193142484888313e+02,1.790296827890003328e-03
3.830455456077094141e+02,8.160019544627417076e-04
3.872167094488320913e+02,-2.446922876080392939e-04
3.914332950628722756e+02,-1.398879211562231717e-03
3.956957970689650210e+02,-2.654203270610722143e-03
4.000047154723881135e+02,-4.018631514929538184e-03
4.043605557232123147e+02,2.785901756216624392e-03
4.087638287755935949e+02,1.966949835143338987e-03
4.132150511477075270e+02,7.510014728993041899e-04
4.177147449823413581e+02,-5.844149728968517366e-04
4.222634381081414290e+02,-2.049317815919771135e-03
4.268616641015293567e+02,-3.654250729415053911e-03
4.315099623492924366e+02,2.774337064263221464e-03
4.362088781118557677e+02,1.844834066476508383e-03
4.409589625872415581e+02,4.114259986254253931e-04
4.457607729757288553e+02,-1.179670794511089582e-03
4.506148725452131316e+02,-2.941386765002995674e-03
4.555218306972806204e+02,-4.886954676289967381e-03
4.604822230339987641e+02,2.068754637508440908e-03
4.654966314254392614e+02,4.893608079985511949e-04
4.705656440779313243e+02,-1.285098676200746581e-03
4.756898556030606642e+02,-3.270129270649846376e-03
4.808698670874197774e+02,2.729063769460360334e-03
4.861062861631156125e+02,1.497858644230909420e-03
4.913997270790493417e+02,-3.109488434693830072e-04
4.967508107729682365e+02,-2.362689308115228926e-03
5.021601649443038582e+02,-4.675610112482075920e-03
5.076284241278037257e+02,1.954749811913458757e-03
5.131562297679624862e+02,7.376983914397783337e-05
5.187442302942682772e+02,-2.089101568961915234e-03
5.243930811972636548e+02,-4.554626243284509712e-03
5.301034451054373449e+02,1.926829068631619180e-03
5.358759918629529011e+02,-8.265847999222586395e-05
5.417113986082219981e+02,-2.420359032921481912e-03
5.476103498533376523e+02,-5.109593509778243003e-03
5.535735375643679390e+02,1.431769980530184228e-03
5.596016612425266885e+02,-7.834397928769831765e-04
5.656954280062252565e+02,-3.381286946347650257e-03
5.718555526740226469e+02,2.534504533426407136e-03
5.780827578484746709e+02,4.305338409178460779e-04
5.843777740008971477e+02,-2.091139266794606044e-03
5.907413395570534931e+02,-5.058619246480766662e-03
5.971742009837740852e+02,1.287026681402458905e-03
6.036771128765177536e+02,-1.180878090001336034e-03
6.102508380478911931e+02,-4.135967625182424001e-03
6.168961476171273262e+02,1.840860352213091744e-03
6.236138211005411449e+02,-6.033776265663703953e-04
6.304046465029670117e+02,-3.580739015336398268e-03
6.372694204101981086e+02,2.135006339131884090e-03
6.442089480824257635e+02,-3.240608348757945123e-04
6.512240435486996830e+02,-3.367160921590617306e-03
6.583155297024167112e+02,2.199016420688870710e-03
6.654842383978487987e+02,-3.225497564862678246e-04
6.727310105477199613e+02,-3.484427699145697943e-03
6.800566962218522349e+02,2.047390076064914410e-03
6.874621547468792642e+02,-5.943492610622769234e-04
6.949482548070459416e+02,-3.938432226606281006e-03
7.025158745461126273e+02,1.677826090054956865e-03
7.101659016703607676e+02,-1.152648978468562291e-03
7.178992335527250361e+02,-4.753617719513769657e-03
7.257167773380574545e+02,1.069351541497454150e-03
7.336194500495389548e+02,-2.030250048372650440e-03
7.416081786962496381e+02,2.515810578085364568e-03
7.496839003819070513e+02,1.803214369395789163e-04
7.578475624147957888e+02,-3.281484794717570708e-03
7.661001224188880769e+02,1.915676555843681683e-03
7.744425484461729638e+02,-1.053669193354700440e-03
7.828758190902176466e+02,-4.984612205666927309e-03
7.914009236009558208e+02,7.446513253981379421e-04
8.000188620007306781e+02,-2.722305008741265908e-03
8.087306452016013054e+02,2.149785578760443627e-03
8.175372951239262420e+02,-8.483844505891013910e-04
8.264398448162351087e+02,-4.942492598287273609e-03
8.354393385764129789e+02,6.713793392174594032e-04
8.445368320741972639e+02,-2.994002574974174991e-03
8.537333924750125789e+02,1.871063137733663950e-03
8.630300985651488190e+02,-1.366381461277654807e-03
8.724280408783123448e+02,2.393011852102944204e-03
8.819283218235448203e+02,-2.822806404001454439e-05
8.915320558145408540e+02,-4.141326169422754333e-03
9.012403694003719465e+02,1.051308826117924866e-03
9.110544013976352744e+02,-2.694555884262150869e-03
9.209753030240369753e+02,1.902045991908352107e-03
9.310042380334396057e+02,-1.486116673606652228e-03
9.411423828523696784e+02,2.383428996667547040e-03
9.513909267180191591e+02,-4.896067931490222236e-04
9.617510718177420586e+02,-5.079687652657760566e-03
9.722240334300814766e+02,3.201058760193831176e-04
9.828110400673214144e+02,-4.003724005026576549e-03
9.935133336195962102e+02,9.668135774099084756e-04
1.004332169500568625e+03,-3.111164028838153683e-03
1.015268816794694317e+03,1.472585533540460290e-03
1.026324558406086226e+03,-2.382843657335875776e-03
1.037500691209008664e+03,1.857764439489706376e-03
1.048798526200002698e+03,-1.801526150623011802e-03
1.060219388651666804e+03,2.140758103385209665e-03
1.071764618268121012e+03,-1.352048405090400252e-03
1.083435569342155986e+03,2.291448652973038236e-03
1.095233610914096062e+03,-1.021618475071761623e-03
1.107160126932391677e+03,2.234486334672602936e-03
1.119216516415961678e+03,-7.998731012275328567e-04
1.131404193618304362e+03,2.165555822080555970e-03
1.143724588193388172e+03,-6.791387615772137565e-04
1.156179145363362522e+03,2.140829351024997607e-03
1.168769326088083062e+03,-6.546483262805935510e-04
1.181496607236483896e+03,2.118343452333526500e-03
1.194362481759826096e+03,-7.247649699975156068e-04
1.207368458866820902e+03,2.114728178018943083e-03
1.220516064200665369e+03,-8.912165007464167843e-04
1.233806840018006369e+03,2.173699407104656700e-03
1.247242345369853183e+03,-1.159340498118055507e-03
1.260824156284453466e+03,2.142364601918522737e-03
1.274553865952174647e+03,-1.538340649156921813e-03
1.288433084912385539e+03,1.923379718324902399e-03
1.302463441242379758e+03,-2.041496440152279490e-03
1.316646580748349379e+03,1.631709963838545718e-03
1.330984167158451783e+03,-2.686554059486034873e-03
1.345477882317964031e+03,1.254850240179017362e-03
1.360129426386571140e+03,-3.495952148362846401e-03
1.374940518037799620e+03,7.713007351961564950e-04
1.389912894660625170e+03,-4.497127629623953737e-03
1.405048312563268155e+03,1.545174475383603863e-04
1.420348547179222805e+03,-5.722839998947293338e-03
1.435815393275516044e+03,-6.273632451945232447e-04
1.451450665163241865e+03,2.033034356736074244e-03
1.467256196910379686e+03,-1.612090802023402603e-03
1.483233842556946229e+03,1.655543919791391261e-03
1.499385476332474127e+03,-2.843187368999799958e-03
1.515712992875866121e+03,9.999606919821601991e-04
1.532218307457643277e+03,-4.370772720626803221e-03
1.548903356204612692e+03,1.106192700168762144e-04
1.565770096326976272e+03,1.795538124249596024e-03
1.582820506347927221e+03,-1.068653619732629068e-03
1.600056586335731481e+03,1.778907944252061668e-03
1.617480358138338261e+03,-2.601422624787019799e-03
1.635093865620559427e+03,1.025700616396285625e-03
1.652899174903813218e+03,-4.558704573875971278e-03
1.670898374608490712e+03,-8.637655719123671361e-05
1.689093576098956191e+03,1.714518425414368608e-03
1.707486913731218237e+03,-1.636116114417163203e-03
1.726080545103296799e+03,1.418746025962036583e-03
1.744876651308311239e+03,-3.710859612215067216e-03
1.763877437190338696e+03,3.393407382024093977e-04
1.783085131603044829e+03,1.593766914139038704e-03
1.802501987671130109e+03,-1.293493750431196077e-03
1.822130283054639449e+03,1.488991556225727209e-03
1.841972320216131493e+03,-3.585626983641176935e-03
1.862030426690767172e+03,3.485722321716622218e-04
1.882306955359337280e+03,1.482072062727546324e-03
1.902804284724264107e+03,-1.497469828707131967e-03
1.923524819188600759e+03,1.329912555809720232e-03
1.944470989338086156e+03,-4.175857015537687289e-03
1.965645252226253206e+03,-3.465260707624651104e-05
1.987050091662653585e+03,1.627471590150975089e-03
2.008688018504207776e+03,-2.298723573987970781e-03
2.030561570949748784e+03,9.074278380403200117e-04
2.052673314837753878e+03,-5.612544476010228323e-03
2.075025843947327303e+03,-9.252849000480622976e-04
2.097621780302457864e+03,1.429179710711991902e-03
2.120463774479593667e+03,-3.898986604839116410e-03
2.143554505918561517e+03,3.546462182768550520e-05
2.166896683236869649e+03,1.531449937060003208e-03
2.190493044547447880e+03,-2.603113785316857332e-03
2.214346357779823848e+03,6.685458711777059193e-04
2.238459421004822616e+03,-6.677990931607702407e-03
2.262835062762782400e+03,-1.651359705755695018e-03
2.287476142395352326e+03,1.051492930318254082e-03
2.312385550380903169e+03,-5.541098138351685520e-03
2.337566208673589699e+03,-9.786185995057650189e-04
2.363021071046107863e+03,1.253358990801700656e-03
2.388753123436172700e+03,-4.728162315406514438e-03
2.414765384296791581e+03,-5.296288774925272946e-04
2.441060904950332770e+03,1.333397719346152144e-03
2.467642769946447061e+03,-4.198854479418479002e-03
2.494514097423910243e+03,-2.602290533122442184e-04
2.521678039476382310e+03,1.339689466272275808e-03
2.549137782522159341e+03,-3.925376475190311965e-03
2.576896547677949911e+03,-1.387973695790023498e-04
2.604957591136724659e+03,1.307666452523115197e-03
2.633324204549680417e+03,-3.894016698431812529e-03
2.661999715412349360e+03,-1.478882371559464559e-04
2.690987487454942311e+03,1.258530160342274939e-03
2.720290921036916643e+03,-4.106816580964789409e-03
2.749913453545842458e+03,-2.859162179378316182e-04
2.779858559800633429e+03,1.197553936189699186e-03
2.810129752459145038e+03,-4.583354336933354034e-03
2.840730582430223876e+03,-5.689597176061766959e-04
2.871664639290238938e+03,1.112263684353465010e-03
2.902935551704151294e+03,-5.362652426820879725e-03
2.934546987851172617e+03,-1.032691190433254746e-03
2.966502655855040302e+03,9.704895092816911983e-04
2.998806304219014692e+03,-6.505215009852349795e-03
3.031461722265566095e+03,-1.734313402193876641e-03
3.064472740580895788e+03,7.182812900765611630e-04
3.097843231464265045e+03,3.514650497136173612e-04
3.131577109382229082e+03,-2.754917220936903277e-03
3.165678331427819103e+03,2.776814763958412868e-04
3.200150897784720655e+03,9.626663157424886208e-04
3.234998852196508324e+03,-4.201800707542169278e-03
3.270226282440994510e+03,-4.555919548723252888e-04
3.305837320809723678e+03,9.572733997718074761e-04
3.341836144592728033e+03,-6.210915591915444622e-03
3.378226976568510509e+03,-1.614971549487975722e-03
3.415014085499412886e+03,6.629530748192280498e-04
3.452201786632343556e+03,1.707097241867572279e-04
3.489794442204971347e+03,-3.365138216839369534e-03
3.527796461957432257e+03,-8.107868176132626559e-05
3.566212303649604110e+03,8.641948990391057350e-04
3.605046473584021442e+03,-5.905462524375515443e-03
3.644303527134464730e+03,-1.471998632237792037e-03
3.683988069280340369e+03,6.428590004396994573e-04
3.724104755146851858e+03,3.134267308713134526e-05
3.764658290551047230e+03,-3.744698577664351546e-03
3.805653432553850507e+03,-3.124228460640310345e-04
3.847094990018064436e+03,7.855510952117228385e-04
3.888987824172470027e+03,-7.175216089594371738e-03
3.931336849182064270e+03,-2.276328060281329613e-03
3.974147032724507881e+03,3.138565649125624191e-04
4.017423396572852653e+03,5.570262453371555011e-04
4.061171017184597986e+03,-5.568136134614931620e-03
4.105395026297196637e+03,-1.332563693556387818e-03
4.150100611530016977e+03,5.842640850266533903e-04
4.195293016992848607e+03,-6.923232301847548342e-05
4.240977543901083664e+03,-4.521135023618505500e-03
4.287159551197548353e+03,-7.737390862176951600e-04
4.333844456181126588e+03,6.477351540565834398e-04
4.381037735142230304e+03,-7.723087355673285970e-04
4.428744924005181929e+03,-3.937440387616675253e-03
4.476971618977603612e+03,-4.940268197026753683e-04
4.525723477206850475e+03,6.194203069131987149e-04
4.575006217443647984e+03,-1.106308342125217337e-03
4.624825620712877026e+03,-3.759895044315619828e-03
4.675187530991745007e+03,-4.273168246591296793e-04
4.726097855895280190e+03,5.744895844088659942e-04
4.777562567369322096e+03,-1.272780650794835822e-03
4.829587702391048879e+03,-3.977585474987499481e-03
4.882179363677134461e+03,-5.539812210013650429e-04
4.935343720399614540e+03,5.413876548807650124e-04
4.989087008909560609e+03,-1.194248901744465741e-03
5.043415533468598369e+03,-4.633105483716093431e-03
5.098335666988457888e+03,-9.082768209669467296e-04
5.153853851778491844e+03,4.944299144602481988e-04
5.209976600301420149e+03,-5.729474060487405040e-04
5.266710495937238193e+03,-5.830503504082429345e-03
5.324062193755474254e+03,-1.586211738738185772e-03
5.382038421295852459e+03,3.456862065869259482e-04
5.440645979357455872e+03,-7.302697855848805375e-05
5.499891742796483413e+03,-7.743960578407538264e-03
5.559782661332673342e+03,-2.754488332504578807e-03
5.620325760364563394e+03,-6.387480984049176413e-05
5.681528141793570285e+03,2.895308805079821468e-04
5.743396984857055031e+03,-2.216359869430029050e-03
5.805939546970500487e+03,-4.660054416584458181e-03
5.869163164578808392e+03,-9.742012351345863408e-04
5.933075254016894178e+03,3.919525142768165438e-04
5.997683312379646850e+03,-5.997311868153332171e-04
6.062994918401359428e+03,-7.640450846481350311e-03
6.129017733344752742e+03,-2.716493553514887083e-03
6.195759501899632596e+03,-9.047219495261771272e-05
6.263228053091409492e+03,1.992407347959357367e-04
6.331431301199450900e+03,-2.386712044941674549e-03
6.400377246685427963e+03,-5.724825621020279698e-03
6.470073977131837637e+03,-1.586333002892459376e-03
6.540529668190676603e+03,2.420057144174592167e-04
6.611752584542476143e+03,-2.780005618170378057e-04
6.683751080865775293e+03,-1.054844267037591266e-02
6.756533602817156861e+03,-4.640271575707899387e-03
6.830108688021950911e+03,-1.011449898951077842e-03
6.904484967075701206e+03,2.996977377742737758e-04
6.979671164556611075e+03,-7.449737625870866964e-04
7.055676100048906846e+03,-9.926852247405193452e-03
7.132508689177454471e+03,-4.232247950816336868e-03
7.210177944653562008e+03,-8.196004712193172281e-04
7.288692977332209011e+03,2.726618120636459253e-04
7.368062997280773743e+03,-9.934621095908369171e-04
7.448297314859411927e+03,-1.023729486061952798e-02
7.529405341813184350e+03,-4.450839875028478332e-03
7.611396592376099761e+03,-9.438514280457610539e-04
7.694280684387126712e+03,2.453406788296419450e-04
7.778067340418459935e+03,-9.213726581647208036e-04
7.862766388915938478e+03,-1.157199240809525520e-02
7.948387765352017595e+03,-5.372157690237244765e-03
8.034941513391193439e+03,-1.443807148110209937e-03
8.122437786068168862e+03,1.747225928818707530e-04
8.210886846978835820e+03,-5.547313657459085334e-04
8.300299071484230808e+03,-4.225760031773440062e-03
8.390684947927602479e+03,-7.222293008194213826e-03
8.482055078864699681e+03,-2.530162509267519511e-03
8.574420182307530922e+03,-1.340486313585742550e-04
8.667791092981598922e+03,-7.239309974682583970e-05
8.762178763596824865e+03,-2.385355128470934005e-03
8.857594266132386110e+03,-1.040405402532407209e-02
8.954048793135463711e+03,-4.591621887954921988e-03
9.051553659034165321e+03,-1.055411291707386567e-03
9.150120301464754448e+03,1.662716622323756610e-04
9.249760282613315212e+03,-9.647014312719193185e-04
9.350485290572047234e+03,-5.061477562517069373e-03
9.452307140710274325e+03,-8.225019393697685643e-03
9.555237777060487133e+03,-3.173167599675785766e-03
9.659289273719390621e+03,-4.094108803016638376e-04
9.764473836264192869e+03,2.764317227121892984e-05
9.870803803184435310e+03,-1.899709843466546033e-03
9.978291647329280750e+03,-1.426798408973173338e-02
1.008694997737064477e+04,-7.315046083383514031e-03
1.019679153928221785e+04,-2.616342328110476956e-03
1.030782921783462371e+04,-2.108231758892742391e-04
1.042007603810685578e+04,-1.370516430414525644e-04
1.053354516701408284e+04,-2.432720073415772788e-03
1.064824991485229293e+04,-1.458849602029044235e-02
1.076420373685955201e+04,-7.554330779016460440e-03
1.088142023479436648e+04,-2.771709699795898985e-03
1.099991315853121887e+04,-2.799921972416186122e-04
1.111969640767346209e+04,-1.178032947528606655e-04
1.124078403318379969e+04,-2.322791798194501212e-03
1.136319023903250127e+04,-7.488837701280282033e-03
1.148692938386357673e+04,-9.074420968919305608e-03
1.161201598267909139e+04,-3.742642369543247582e-03
1.173846470854182371e+04,-6.917081066486474583e-04
1.186629039429648401e+04,3.986622861784638872e-05
1.199550803430956330e+04,-1.585774086199087662e-03
1.212613278622836515e+04,-5.923536118015881868e-03
1.225817997275894231e+04,-1.231680270892354656e-02
1.239166508346353476e+04,-5.944539355406064374e-03
1.252660377657754179e+04,-1.834668505678926920e-03
1.266301188084627574e+04,-2.550816559665491923e-05
1.280090539738176813e+04,-5.553508677600405008e-04
1.294030050153962839e+04,-3.462079824088526436e-03
1.308121354481663548e+04,-9.308946583625576920e-03
1.322366105676870939e+04,-1.017241650049172108e-02
1.336765974694991746e+04,-4.479949800535010240e-03
1.351322650687254281e+04,-1.060725067396184329e-03
1.366037841198852948e+04,4.694605906419013763e-05
1.380913272369248261e+04,-1.195072905746386027e-03
1.395950689134647837e+04,-4.824712233180150633e-03
1.411151855432694356e+04,-1.767302733149644922e-02
