stiffness,height
2.000000000000000000e+02,-1.499296565708796436e-03
2.021778944509092639e+02,7.152406582200399043e-05
2.043795050230150423e+02,1.535243302293487488e-03
2.066050899723612702e+02,2.895244222741233386e-03
2.088549103672633294e+02,-4.493003407882945055e-03
2.111292301189333784e+02,-3.055581467901191672e-03
2.134283160124372216e+02,-1.713732717576021969e-03
2.157524377379891973e+02,-4.636252041958499603e-04
2.181018679225879566e+02,6.985117898219428412e-04
2.204768821619956896e+02,1.776415700309286194e-03
2.228777590530676207e+02,2.773725600722087847e-03
2.253047802264314328e+02,3.569481224089621207e-03
2.277582303795238090e+02,-4.001560820810823316e-03
2.302383973099864249e+02,-3.023221889463911793e-03
2.327455719494247148e+02,-2.118812528888902591e-03
2.352800483975364614e+02,-1.285328239252869764e-03
2.378421239566097540e+02,-5.198966676394078945e-04
2.404320991663978475e+02,1.802725029467211471e-04
2.430502778393726544e+02,8.178766760718048090e-04
2.456969670963642614e+02,1.395468506786734508e-03
2.483724774025862700e+02,1.915489469493714125e-03
2.510771226040546651e+02,2.380254449460217359e-03
2.538112199644028237e+02,2.791946089931052200e-03
2.565750902020979538e+02,3.114608991041656338e-03
2.593690575280614325e+02,3.353721228760875306e-03
2.621934496837010897e+02,-5.003471908029410997e-03
2.650485979793555202e+02,-4.720823691529041355e-03
2.679348373331583275e+02,-4.493510537809441985e-03
2.708525063103241450e+02,-4.320584407039085306e-03
2.738019471628647352e+02,-4.201278620256765350e-03
2.767835058697355066e+02,-4.135014737864040058e-03
2.797975321774200097e+02,-4.121409593437874719e-03
2.828443796409568449e+02,-4.160282485901056759e-03
2.859244056654113706e+02,-4.251662532682942697e-03
2.890379715478024991e+02,-4.395796187100842189e-03
2.921854425194826490e+02,-4.593154922455155997e-03
2.953671877889808570e+02,-4.844443085991301245e-03
2.985835805853126317e+02,3.482363153053391613e-03
3.018349982017594471e+02,3.239619116454761638e-03
3.051218220401285066e+02,2.999867895833396858e-03
3.084444376554911287e+02,2.660729280764329019e-03
3.118032348014097010e+02,2.256770993741774589e-03
3.151986074756577523e+02,1.805651222263726652e-03
3.186309539664355270e+02,1.305210419999980331e-03
3.221006768990926616e+02,7.529938840518113352e-04
3.256081832833558565e+02,1.462423260818468407e-04
3.291538845610731983e+02,-5.181070049147251666e-04
3.327381966544774627e+02,-1.243475984590958205e-03
3.363615400149741390e+02,-2.033587703670569624e-03
3.400243396724636682e+02,-2.892505083378793529e-03
3.437270252851973851e+02,-3.824666676171872837e-03
3.474700311901782470e+02,-4.834868504651090859e-03
3.512537964541103861e+02,3.006829670729516124e-03
3.550787649249014635e+02,2.183510152846679375e-03
3.589453852837297063e+02,1.257741567253667370e-03
3.628541110976743198e+02,2.528073637408922991e-04
3.668054008729208135e+02,-8.375655022678785144e-04
3.707997181085442548e+02,-2.020123968273779269e-03
3.748375313508807949e+02,-3.301980889216515891e-03
3.789193142484888313e+02,-4.690747433528485999e-03
3.830455456077094141e+02,2.850890287802165801e-03
3.872167094488320913e+02,1.710906315874005656e-03
3.914332950628722756e+02,4.580284752746521804e-04
3.956957970689650210e+02,-9.110191752323970604e-04
4.000047154723881135e+02,-2.405745068861264713e-03
4.043605557232123147e+02,-4.036109598579251667e-03
4.087638287755935949e+02,3.061310475366063599e-03
4.132150511477075270e+02,1.798096925877068486e-03
4.177147449823413581e+02,3.298524584733897314e-04
4.222634381081414290e+02,-1.290400451966711159e-03
4.268616641015293567e+02,-3.074865014752958814e-03
4.315099623492924366e+02,-5.036319583693327218e-03
4.362088781118557677e+02,2.205624394117755571e-03
4.409589625872415581e+02,5.972409451047155926e-04
4.457607729757288553e+02,-1.198277200343156323e-03
4.506148725452131316e+02,-3.195625132111246103e-03
4.555218306972806204e+02,3.264779577753174067e-03
4.604822230339987641e+02,1.780415227767839781e-03
4.654966314254392614e+02,-4.306935121789479126e-05
4.705656440779313243e+02,-2.098879764097283385e-03
4.756898556030606642e+02,-4.404493009438681383e-03
4.808698670874197774e+02,2.378855584476369245e-03
4.861062861631156125e+02,4.948346089053146102e-04
4.913997270790493417e+02,-1.658336328684839600e-03
4.967508107729682365e+02,-4.100480994357447173e-03
5.021601649443038582e+02,2.472322765940226930e-03
5.076284241278037257e+02,4.774249437167199517e-04
5.131562297679624862e+02,-1.830468864783441063e-03
5.187442302942682772e+02,-4.473746374974219009e-03
5.243930811972636548e+02,2.093885264033090721e-03
5.301034451054373449e+02,-8.228062649084932900e-05
5.358759918629529011e+02,-2.623065353684062018e-03
5.417113986082219981e+02,3.153053597972466093e-03
5.476103498533376523e+02,1.222563064671611244e-03
5.535735375643679390e+02,-1.227804585061775811e-03
5.596016612425266885e+02,-4.102985369962119933e-03
5.656954280062252565e+02,2.154040437975623945e-03
5.718555526740226469e+02,-2.247110378972294598e-04
5.780827578484746709e+02,-3.067447035880910278e-03
5.843777740008971477e+02,2.759491920002687948e-03
5.907413395570534931e+02,4.389975289011971427e-04
5.971742009837740852e+02,-2.401917805392450589e-03
6.036771128765177536e+02,3.015243941839607089e-03
6.102508380478911931e+02,8.042770341996074990e-04
6.168961476171273262e+02,-2.073862104849055754e-03
6.236138211005411449e+02,3.126923080481347483e-03
6.304046465029670117e+02,8.986693815646873418e-04
6.372694204101981086e+02,-2.064887948066918000e-03
6.442089480824257635e+02,3.050170678123187429e-03
6.512240435486996830e+02,7.347150212302366867e-04
6.583155297024167112e+02,-2.372421356730214370e-03
6.654842383978487987e+02,2.834743183703913871e-03
6.727310105477199613e+02,3.082043649706989186e-04
6.800566962218522349e+02,-3.011497853243838563e-03
6.874621547468792642e+02,2.404142665938913126e-03
6.949482548070459416e+02,-4.036711800745607093e-04
7.025158745461126273e+02,-4.016677502006515965e-03
7.101659016703607676e+02,1.672007508756401251e-03
7.178992335527250361e+02,-1.444375086443017153e-03
7.257167773380574545e+02,-5.444089793801509813e-03
7.336194500495389548e+02,6.448435433190624622e-04
7.416081786962496381e+02,-2.880019134482658671e-03
7.496839003819070513e+02,2.287931948989907482e-03
7.578475624147957888e+02,-7.541469984371218516e-04
7.661001224188880769e+02,-4.801759744171185673e-03
7.744425484461729638e+02,9.690236630044424260e-04
7.828758190902176466e+02,-2.628100388619714067e-03
7.914009236009558208e+02,2.324834604881864664e-03
8.000188620007306781e+02,-8.188773205830557345e-04
8.087306452016013054e+02,-5.108859377279451053e-03
8.175372951239262420e+02,6.591823289090470439e-04
8.264398448162351087e+02,-3.221802016386554612e-03
8.354393385764129789e+02,1.838881302953510044e-03
8.445368320741972639e+02,-1.636077110030775827e-03
8.537333924750125789e+02,2.687555598912538812e-03
8.630300985651488190e+02,-3.215505189491096871e-04
8.724280408783123448e+02,-4.756439207620921650e-03
8.819283218235448203e+02,7.509632990636561090e-04
8.915320558145408540e+02,-3.346012927281094562e-03
9.012403694003719465e+02,1.609705901193692057e-03
9.110544013976352744e+02,-2.161572011380563652e-03
9.209753030240369753e+02,2.281706929808891005e-03
9.310042380334396057e+02,-1.178573575294272757e-03
9.411423828523696784e+02,2.684157637509620997e-03
9.513909267180191591e+02,-3.739038634940072825e-04
9.617510718177420586e+02,-5.227759857425517964e-03
9.722240334300814766e+02,2.738905891899179323e-04
9.828110400673214144e+02,-4.378119281472692137e-03
9.935133336195962102e+02,7.845940170634335686e-04
1.004332169500568625e+03,-3.692219890547576711e-03
1.015268816794694317e+03,1.175998358675656164e-03
1.026324558406086226e+03,-3.155519214700142072e-03
1.037500691209008664e+03,1.463801716115931129e-03
1.048798526200002698e+03,-2.755760076079027954e-03
1.060219388651666804e+03,1.661406370315532399e-03
1.071764618268121012e+03,-2.483164605703969130e-03
1.083435569342155986e+03,1.779723175465264262e-03
1.095233610914096062e+03,-2.330637431038340424e-03
1.107160126932391677e+03,1.826966631787385609e-03
1.119216516415961678e+03,-2.293978412493125063e-03
1.131404193618304362e+03,1.808440242014874855e-03
1.143724588193388172e+03,-2.372105311760464019e-03
1.156179145363362522e+03,1.726311751766296254e-03
1.168769326088083062e+03,-2.567286776467447851e-03
1.181496607236483896e+03,1.579377870578824172e-03
1.194362481759826096e+03,-2.885386024879643685e-03
1.207368458866820902e+03,1.362818070488991395e-03
1.220516064200665369e+03,-3.336115609449130659e-03
1.233806840018006369e+03,1.067937062368962131e-03
1.247242345369853183e+03,-3.933303629042761429e-03
1.260824156284453466e+03,6.818955582739150145e-04
1.274553865952174647e+03,-4.695171746239346078e-03
1.288433084912385539e+03,1.874289401255779808e-04
1.302463441242379758e+03,-5.644625346120868414e-03
1.316646580748349379e+03,-4.374265260072007777e-04
1.330984167158451783e+03,2.325537027815016700e-03
1.345477882317964031e+03,-1.219740267222491070e-03
1.360129426386571140e+03,2.039315353127513220e-03
1.374940518037799620e+03,-2.191807074846785497e-03
1.389912894660625170e+03,1.517257672084326714e-03
1.405048312563268155e+03,-3.391680135589325573e-03
1.420348547179222805e+03,8.281231410416367567e-04
1.435815393275516044e+03,-4.863417632632760501e-03
1.451450665163241865e+03,-7.137633533016440879e-05
1.467256196910379686e+03,2.249542981074270642e-03
1.483233842556946229e+03,-1.230996577869625241e-03
1.499385476332474127e+03,1.866231268842888369e-03
1.515712992875866121e+03,-2.707280490078289859e-03
1.532218307457643277e+03,1.099990828636876472e-03
1.548903356204612692e+03,-4.564013455819804221e-03
1.565770096326976272e+03,1.786996031682974717e-05
1.582820506347927221e+03,2.129685642052514538e-03
1.600056586335731481e+03,-1.451012105192717172e-03
1.617480358138338261e+03,1.644442394593603751e-03
1.635093865620559427e+03,-3.385670519779004906e-03
1.652899174903813218e+03,6.313115428158155851e-04
1.670898374608490712e+03,-5.873699758511818914e-03
1.689093576098956191e+03,-8.680412034163254020e-04
1.707486913731218237e+03,1.806628887026207053e-03
1.726080545103296799e+03,-2.949994557979174203e-03
1.744876651308311239e+03,7.995470632433665514e-04
1.763877437190338696e+03,-5.720493075013877160e-03
1.783085131603044829e+03,-8.271526061776057759e-04
1.802501987671130109e+03,1.735433367448635522e-03
1.822130283054639449e+03,-3.189507241502909096e-03
1.841972320216131493e+03,6.072940311527830204e-04
1.862030426690767172e+03,-6.414237808361811233e-03
1.882306955359337280e+03,-1.312850371196994104e-03
1.902804284724264107e+03,1.463392174501976228e-03
1.923524819188600759e+03,-4.163191449999104066e-03
1.944470989338086156e+03,1.206683412924292043e-05
1.965645252226253206e+03,1.799130978442420314e-03
1.987050091662653585e+03,-2.448196557513604432e-03
2.008688018504207776e+03,8.836039721824562321e-04
2.030561570949748784e+03,-6.080554689988915129e-03
2.052673314837753878e+03,-1.180140856843259201e-03
2.075025843947327303e+03,1.394929000041678080e-03
2.097621780302457864e+03,-4.520458881277278351e-03
2.120463774479593667e+03,-2.761027209050581632e-04
2.143554505918561517e+03,1.632984021703975941e-03
2.166896683236869649e+03,-3.342027596820784652e-03
2.190493044547447880e+03,3.394223649992866854e-04
2.214346357779823848e+03,1.569204703108617593e-03
2.238459421004822616e+03,-2.482150547649553118e-03
2.262835062762782400e+03,7.335777232659879132e-04
2.287476142395352326e+03,-7.055226177610229854e-03
2.312385550380903169e+03,-1.887462972548270557e-03
2.337566208673589699e+03,9.636274939222033709e-04
2.363021071046107863e+03,-6.427037615661213010e-03
2.388753123436172700e+03,-1.515704362538450312e-03
2.414765384296791581e+03,1.075709197144725238e-03
2.441060904950332770e+03,-6.099065896039590484e-03
2.467642769946447061e+03,-1.337176070043355480e-03
2.494514097423910243e+03,1.103340125361285118e-03
2.521678039476382310e+03,-6.059428486857143525e-03
2.549137782522159341e+03,-1.336304207959493340e-03
2.576896547677949911e+03,1.065841015652324586e-03
2.604957591136724659e+03,-6.311951128527226729e-03
2.633324204549680417e+03,-1.513314417825206704e-03
2.661999715412349360e+03,9.666458399069099983e-04
2.690987487454942311e+03,-6.877943042330691981e-03
2.720290921036916643e+03,-1.886025172911587333e-03
2.749913453545842458e+03,7.914907345742960842e-04
2.779858559800633429e+03,9.816121325894044958e-04
2.810129752459145038e+03,-2.491766257319838473e-03
2.840730582430223876e+03,5.064750866239364768e-04
2.871664639290238938e+03,1.077900054244018690e-03
2.902935551704151294e+03,-3.389428891574119973e-03
2.934546987851172617e+03,5.598793144834246505e-05
2.966502655855040302e+03,1.163337259311170158e-03
2.998806304219014692e+03,-4.661653622752837123e-03
3.031461722265566095e+03,-6.394769643600639597e-04
3.064472740580895788e+03,1.055157806522544206e-03
3.097843231464265045e+03,-6.417161518347924698e-03
3.131577109382229082e+03,-1.685832581188151380e-03
3.165678331427819103e+03,7.308684785343189105e-04
