stiffness,height
2.000000000000000000e+02,7.864739037799495236e-07
2.208376101708320789e+02,1.197421888754490737e-06
2.438462503298221691e+02,9.390122617247698145e-07
2.692521158597819522e+02,1.069515191964853784e-06
2.973049689995714857e+02,1.116427576164369384e-06
3.282805942288933352e+02,5.738922235209997780e-07
3.624835094748475512e+02,5.068642652261701187e-07
4.002499597938074771e+02,1.200895699327020338e-06
4.419512229591807113e+02,1.220455571271372719e-06
4.879972594519101108e+02,8.897790024775531492e-07
5.388407427363765692e+02,1.222313888327164477e-06
5.949815094428881821e+02,1.221971104747865411e-06
6.569714732060087954e+02,2.643061742801933178e-07
7.254200504661297373e+02,9.985573736770447795e-07
8.010001515747222811e+02,8.217792126785639084e-07
8.844547961011795678e+02,6.436530384235084057e-07
9.766044173755760767e+02,7.278990352688197163e-07
1.078354928077501199e+03,9.144338619648806343e-07
1.190706626162874272e+03,3.687787426542854519e-07
1.314764028681917125e+03,1.151382908126663551e-06
1.451746730163450820e+03,8.414827501468380433e-08
1.603001392313081169e+03,5.273871055422318932e-07
1.770014982894688046e+03,2.678502308839370016e-07
1.954429393945145193e+03,9.093862454179202359e-07
2.158057583032367347e+03,1.001334458905489555e-06
2.382901396239552469e+03,1.156206315577890109e-06
2.631171248091410689e+03,5.185695970411074995e-07
2.905307851893562656e+03,3.057278554763342981e-07
3.208006214113640453e+03,8.642895590327270838e-07
3.542242128690174013e+03,1.300407650894896960e-06
3.911301431731898901e+03,5.098344519893771576e-07
4.318812304207135639e+03,1.314880250014027752e-06
4.768780940187441956e+03,6.837988930641358820e-08
5.265630931296040217e+03,6.610832743447758730e-07
5.814246754545157273e+03,1.023613076966967128e-06
6.420021791086350277e+03,1.086760966551025831e-06
7.088911347940872474e+03,8.416967327562474566e-07
7.827491203960768871e+03,2.522368216517634210e-07
8.643022255579524426e+03,4.922033953747018131e-07
9.543521897877493757e+03,1.534880037290520249e-06
1.053784284270135504e+04,3.191507502720014600e-09
1.163576014868987295e+04,1.744975207884635893e-06
1.284806731878838400e+04,-2.443007955932330333e-07
1.418668240997598150e+04,1.053830528618959761e-06
1.566476519835841100e+04,1.995240066499093246e-06
1.729684655146345540e+04,2.605961260115918776e-07
1.909897127958393685e+04,-6.331016200178396502e-07
2.108885587052341361e+04,-4.865833345135683885e-07
2.328606265841751519e+04,-2.973403798733897929e-07
2.571219213886593207e+04,-4.064913792234392531e-07
2.839109532100203432e+04,-8.897235375115997158e-07
3.134910820411190434e+04,-1.459187396690708738e-06
3.461531068391455483e+04,-8.662581363338972551e-07
3.822181243378272484e+04,2.881597905179944519e-06
4.220406857137193583e+04,3.296505242111891221e-06
4.660122821393849881e+04,-4.829440776177307271e-07
5.145651934895865270e+04,-2.394472960354221414e-06
5.681767380366614816e+04,4.876729592595552276e-06
6.273739649133747298e+04,-5.647413203746509680e-07
6.927388354743469972e+04,-1.327202000744875932e-06
7.649139444933999039e+04,4.175436090214645901e-06
8.446088374413346173e+04,-5.081731877965012245e-06
9.326069859485473717e+04,6.642853707106155525e-06
1.029773490027499647e+05,-6.511578146906060738e-06
1.137063582774750830e+05,7.256442611236479934e-06
1.255532021161300217e+05,-6.821814514168522692e-06
1.386343455231080297e+05,3.588047004399186335e-06
1.530783877646031324e+05,4.558502146423393242e-06
1.690273266136944585e+05,-7.646248091575102990e-06
1.866379543146647920e+05,1.317004852197101172e-05
2.060833989901179448e+05,-8.134189060982066621e-06
2.275548266442980675e+05,-6.592928534665531970e-06
2.512633204948243219e+05,1.769443038401874446e-05
2.774419561083242297e+05,-5.097349599303413470e-06
3.063480927404160029e+05,-1.702076150511544483e-05
3.382659034059301484e+05,1.238518308266378654e-05
3.735091685522148618e+05,2.519042920656744400e-05
4.124243607998289517e+05,-2.204129255289899447e-05
4.553940510763360653e+05,-2.337039053923462006e-05
5.028406696285593789e+05,1.330294918133745341e-05
5.552306588873608271e+05,4.079454617400557481e-05
6.130790590113047510e+05,7.006063570180742772e-06
6.769545711891966639e+05,-4.716757619149802849e-05
7.474851484782128828e+05,-3.448690245466679016e-05
8.253641691405904712e+05,1.343045520396657366e-05
9.113572531682138797e+05,6.014130873133183286e-05
1.006309789007611456e+06,6.512257261714893275e-05
1.111155244479775662e+06,-1.393877553823585913e-05
1.226924343598501291e+06,-8.490464120569640727e-05
1.354755199503549142e+06,-8.635348373076112694e-05
1.495904503124366049e+06,-3.840678920763451742e-05
1.651759877568854718e+06,3.556888646283340449e-05
1.823853519691859838e+06,1.088609872326173900e-04
2.013877262952054385e+06,1.514885587443615123e-04
2.223699209638544824e+06,1.305317161639507617e-04
2.455382095976721030e+06,1.079940879833429790e-05
2.711203570658738259e+06,-1.434291521666963831e-04
2.993678586154511664e+06,-2.252218135483374795e-04
3.305584122929788195e+06,-2.407344775710029694e-04
3.649986489632308949e+06,-1.979865786569945385e-04
4.030271467631117441e+06,-1.068402807753443540e-04
4.450177596256739460e+06,2.070154647348942945e-05
4.913832925965581089e+06,1.701997547822742263e-04
5.425795600744940341e+06,3.245053924016971791e-04
5.991098668719633482e+06,4.635359203133404549e-04
6.615299561488485895e+06,5.641387075403514473e-04
7.304534728616352193e+06,6.000909452383851317e-04
8.065579964387411252e+06,5.422981491003397991e-04
8.905917019885320216e+06,3.592671020307136587e-04
9.833807155256064609e+06,1.794197024196364509e-05
1.085837235523788631e+07,-4.111445114229894671e-04
1.198968500637881830e+07,-8.196311965180669290e-04
1.323886691754877754e+07,-1.208360803842012388e-03
1.461819865720583871e+07,-1.578289275233402122e-03
1.614124028229901753e+07,-1.930326265371817840e-03
1.782296464568040520e+07,-2.265337386404553399e-03
1.967990459255645424e+07,-2.584146343098225884e-03
2.173031549305079132e+07,-2.887536964531811634e-03
2.399435470871771500e+07,-3.176255136680516955e-03
2.649427975732235238e+07,-3.451010641382090682e-03
2.925466712402260303e+07,-3.712478906108707122e-03
3.230265387006179616e+07,-3.961302667978117142e-03
3.566820441420020163e+07,-4.198093558063220598e-03
3.938440510958347470e+07,-4.423433608258697802e-03
4.348778951200160384e+07,-4.637876684589592458e-03
4.801869753721304238e+07,-4.841949851773108549e-03
5.302167203817083687e+07,-5.036154671203441069e-03
5.854589670085638762e+07,-5.220968435698303267e-03
6.464567956362762302e+07,-5.396845344909806386e-03
7.138098691350460052e+07,-5.564217623391876089e-03
7.881803280806896091e+07,-5.723496584515430641e-03
8.702993001850110292e+07,-5.875073642649830674e-03
9.609740879310269654e+07,-6.019321276704125978e-03
1.061096105073914975e+08,-6.156593946623267755e-03
1.171649640030509681e+08,-6.287228965527802416e-03
1.293721532309264392e+08,-6.411547329658873196e-03
1.428511857108626962e+08,-6.529854508000809687e-03
1.577345723122834563e+08,-6.642441193861259308e-03
1.741686299538145065e+08,-6.749584019789089950e-03
1.923149200286415517e+08,-6.851546238027417246e-03
2.123518366966007054e+08,-6.948578368031199659e-03
2.344763606573199928e+08,-7.040918812411867123e-03
2.589059956455827057e+08,-7.128794443393537961e-03
2.858809066863522530e+08,-7.212421160525117614e-03
3.156662811304239631e+08,-7.292004421644904255e-03
3.485549356817834973e+08,-7.367739748045387671e-03
3.848701950460665226e+08,-7.439813205132317364e-03
4.249690704997774959e+08,-7.508401859890767582e-03
4.692457696284525394e+08,-7.573674216200920739e-03
5.181355717376023531e+08,-7.635790629115568606e-03
5.721191070351501703e+08,-7.694903698885369181e-03
6.317270816535638571e+08,-7.751158646236433469e-03
6.975454949628342390e+08,-7.804693669155149394e-03
7.702214004651138783e+08,-7.855640282812714759e-03
8.504692669057374001e+08,-7.904123642473948053e-03
9.390780021360107660e+08,-7.950262851442069234e-03
1.036918708778582692e+09,-7.994171253492332596e-03
1.144953247940438271e+09,-8.035956711643699180e-03
