stiffness,height
2.000000000000000000e+02,6.169164539215898913e-07
2.133329916559077901e+02,6.317983443082653139e-07
2.275548266442983163e+02,1.187732275198527532e-06
2.427247596688481508e+02,4.989432742519284147e-07
2.589059956455832321e+02,8.272673426290566567e-07
2.761659530436185150e+02,1.212154088214845160e-06
2.945765447815003881e+02,1.216543673798753389e-06
3.142144778494901516e+02,1.202487509566196877e-06
3.351615729061534807e+02,1.237285798261211767e-06
3.575051051808471243e+02,1.089457157377182739e-06
3.813381681024504246e+02,3.981898695215591033e-07
4.067600611693964652e+02,1.017030655248163384e-06
4.338767036770369145e+02,9.532136120427026071e-07
4.628010760261308860e+02,9.490609045315068215e-07
4.936536904511385728e+02,5.901768558302933343e-07
5.265630931296041126e+02,1.222246647003544240e-06
5.616663997646345479e+02,1.104826450770701740e-06
5.991098668719627085e+02,5.596287975251357238e-07
6.390495011518428328e+02,1.823201767336968260e-08
6.816517094846905138e+02,7.120607925514832459e-08
7.270939922586636612e+02,9.937431766360305119e-08
7.755656829178915359e+02,6.881802159242056405e-07
8.272687368126547653e+02,1.207173848882803213e-06
8.824185726382380608e+02,1.217583158741319949e-06
9.412449699682564415e+02,5.528504827267965993e-07
1.003993026622016032e+03,7.787501727918311190e-07
1.070924179854721615e+03,1.197990743051491336e-06
1.142317295625287215e+03,6.915964156917198125e-08
1.218469830480142491e+03,1.296971388065060182e-06
1.299699070893977932e+03,3.664317738127920165e-09
1.386343455231081634e+03,1.016686606014616245e-06
1.478763983835173349e+03,1.265713593490147559e-06
1.577345723122831487e+03,1.028888476639622240e-07
1.682499409947223967e+03,8.614745974355741964e-07
1.794663162916704096e+03,1.446563278051371526e-06
1.914304307798373429e+03,1.295634247888699520e-06
2.041921324612093258e+03,3.314488283834293725e-07
2.178045924527461466e+03,-3.199193443492731603e-08
2.323245265217004089e+03,5.868388264218538097e-08
2.478124313895831619e+03,1.450947912928768346e-07
2.643328367893210725e+03,1.482063369806496667e-07
2.819545743257935555e+03,4.559149680005702976e-08
3.007510642599477251e+03,-1.296248921534015608e-07
3.208006214113640453e+03,-2.381145050023292242e-07
3.421867814538027233e+03,2.081636436557232628e-07
3.649986489632305165e+03,1.596544269233390878e-06
3.893312686684526852e+03,1.973445677094787243e-06
4.152860214511550112e+03,1.174361387690225911e-06
4.429710467452719058e+03,-2.015121758347504510e-07
4.725016930955890530e+03,-2.478854508325412098e-07
5.040009987528184865e+03,2.301136949434123835e-06
5.376002043075215624e+03,1.013286111906097631e-06
5.734392994987540078e+03,-8.897167038668385430e-07
6.116676064756864434e+03,2.403588376331811105e-06
6.524444019423340251e+03,9.176221444917587178e-07
6.959395807775384128e+03,-9.874606501369953548e-07
7.423343638951534558e+03,2.849246964586882314e-06
7.918220532936918062e+03,-1.103975193927908549e-06
8.446088374413346173e+03,2.918924482564477785e-06
9.009146503518917598e+03,-2.351948147349958163e-07
9.609740879310269520e+03,2.142412565575568806e-06
1.025037385410666684e+04,1.785984284907726760e-07
1.093371459944036360e+04,2.196255254105494714e-06
1.166261022705243886e+04,-3.595329269856506471e-07
1.244009765126943785e+04,3.599265506970539263e-06
1.326941624218470315e+04,-1.977816613596417028e-06
1.415402132236378020e+04,4.861186909010939416e-06
1.509759856330686489e+04,-3.492714665043195055e-06
1.610407934165094230e+04,3.212016070897050213e-06
1.717765711909252059e+04,9.115790664537826160e-07
1.832280491427704328e+04,-2.247190651338826228e-06
1.954429393945145057e+04,6.255586009196179020e-06
2.084721347952802535e+04,-3.854934501390516743e-06
2.223699209638540196e+04,-6.919764752311152733e-07
2.371942024675341600e+04,7.590158432435600844e-06
2.530067440791807894e+04,-5.032589878162241348e-06
2.698734281176613149e+04,-2.006076163851844285e-06
2.878645289438813415e+04,8.593656654731773870e-06
3.070550057560842833e+04,-1.445093722907131450e-06
3.275248149043378362e+04,-7.024199347505089008e-06
3.493592430254491774e+04,5.244377910607056492e-06
3.726492623863120389e+04,1.053753073243512972e-05
3.974919099161971826e+04,-8.394012665391414885e-06
4.239906915072138509e+04,-7.061910176631158720e-06
4.522560132674560009e+04,7.708728247735052719e-06
4.824056415236014436e+04,1.383622521711203035e-05
5.145651934895865270e+04,-7.729334195794024254e-06
5.488686606456737354e+04,-1.327953009244708937e-05
5.854589670085626858e+04,1.113970733435110105e-06
6.244885646185716905e+04,1.687248831760967960e-05
6.661200687249178009e+04,1.414451340320255213e-05
7.105269353156279249e+04,-1.469206060100702871e-05
7.578941838149343675e+04,-1.866722904519946269e-05
8.084191679592605215e+04,-2.546431474570454156e-06
8.623123980636458145e+04,1.814742939210134409e-05
9.197984181044877914e+04,2.678516650078677230e-05
9.811167412730092474e+04,5.718198942794572304e-06
1.046522847897333559e+05,-2.637824291618073858e-05
1.116289249890991196e+05,-2.754315864095246980e-05
1.190706626162874163e+05,-8.774797126243072398e-06
1.270085033719192579e+05,1.743349245053593677e-05
1.354755199503549084e+05,3.764989346510816404e-05
1.445069898357444617e+05,3.756227662332634054e-05
1.541405422842457774e+05,2.074364561899244563e-06
1.644163151048108411e+05,-3.949747775155998397e-05
1.753771218917485676e+05,-4.878705876976141553e-05
1.870686304058475653e+05,-3.410483927535068460e-05
1.995395528472642472e+05,-4.547650524600044264e-06
2.128418488129449543e+05,3.001097787169726416e-05
2.270309417841998220e+05,5.893891738928402901e-05
2.421659500464079028e+05,7.088824477108346400e-05
2.583099330029765842e+05,5.386798942286219471e-05
2.755301539098110516e+05,-4.446917194478317015e-06
2.938983601249635103e+05,-6.390205978323848512e-05
3.134910820411190507e+05,-9.054262329133422327e-05
3.343899519463984179e+05,-8.940453675698734060e-05
3.566820441420013085e+05,-6.607911860800896875e-05
3.804602377337891958e+05,-2.673897093696808724e-05
4.058236036093356670e+05,2.184454039877437026e-05
4.328778172128041042e+05,7.229495897931315085e-05
4.617355988374344888e+05,1.166387723792183806e-04
4.925171832701088861e+05,1.463314370644397400e-04
5.253508207447677851e+05,1.523054855461225543e-04
5.603733112918391125e+05,1.250452175245442277e-04
5.977305747100765584e+05,5.469278935432697608e-05
6.375782585355299525e+05,-5.699496053246377869e-05
6.800823865407406120e+05,-1.473753607754701989e-04
7.254200504661297891e+05,-2.069658524108675124e-04
7.737801478655951796e+05,-2.374916941052518382e-04
8.253641691405904712e+05,-2.409418843871691251e-04
8.803870370417758822e+05,-2.196018581317460416e-04
9.390780021360107930e+05,-1.760875088709923375e-04
1.001681597969642607e+06,-1.133801039703286051e-04
1.068458659907670692e+06,-3.486150113829467045e-05
1.139687411893827375e+06,5.565112848060493889e-05
1.215664625659447396e+06,1.538720634073342808e-04
1.296706857210943010e+06,2.550165443766516660e-04
1.383151765747705242e+06,3.537745872721487217e-04
1.475359520505546359e+06,4.442909823669793923e-04
1.573714301387368934e+06,5.201537368879627365e-04
1.678625899633274879e+06,5.743936209219313582e-04
1.790531425199276768e+06,5.994979148047363537e-04
1.909897127958393423e+06,5.874418988103258243e-04
2.037220340311950771e+06,5.297420812580000415e-04
2.173031549305074848e+06,4.175355782702894203e-04
2.317896606879624072e+06,2.416904223725424572e-04
2.472419087473538704e+06,-7.012955706819923307e-06
2.637242802789497189e+06,-2.881608188634032786e-04
2.813054484210473020e+06,-5.603774765194913243e-04
3.000586644038433675e+06,-8.239467628534669075e-04
3.200620627477403730e+06,-1.079143484512101736e-03
3.413989868076816201e+06,-1.326233707564128395e-03
3.641583360198925249e+06,-1.565475036853669621e-03
3.884349362978049554e+06,-1.797116885975391654e-03
4.143299351204134058e+06,-2.021400735634948376e-03
4.419512229591807351e+06,-2.238560389481669688e-03
4.714138827993456274e+06,-2.448822216052803924e-03
5.028406696285594255e+06,-2.652405386711187418e-03
5.363625218906026334e+06,-2.849522104700241698e-03
5.721191070351490751e+06,-3.040377826504681025e-03
6.102594034365742467e+06,-3.225171477219568317e-03
6.509423211063697003e+06,-3.404095657823624776e-03
6.943373637853119522e+06,-3.577336846251277791e-03
7.406253351739847101e+06,-3.745075593982960527e-03
7.899990922441295348e+06,-3.907486711887564468e-03
8.426643487694578245e+06,-4.064739455294841264e-03
8.988405324238285422e+06,-4.216997699388436160e-03
9.587616990178214386e+06,-4.364420111296674065e-03
1.022677507682864368e+07,-4.507160314405567192e-03
1.090854261065967381e+07,-4.645367050366999706e-03
1.163576014868987165e+07,-4.779184333917996241e-03
1.241145761355300248e+07,-4.908751601698568834e-03
1.323886691754877754e+07,-5.034203860981634193e-03
1.412143542827553302e+07,-5.155671827044905342e-03
1.506284033194875345e+07,-5.273282062736583953e-03
1.606700395424947143e+07,-5.387157107936246803e-03
1.713811010253669694e+07,-5.497415609700517791e-03
1.828062149751244858e+07,-5.604172444811261755e-03
1.949929836696819589e+07,-5.707538838905179546e-03
2.079921827908241004e+07,-5.807622484563346177e-03
2.218579729790445790e+07,-5.904527652508484437e-03
2.366481254916756228e+07,-5.998355301215951840e-03
2.524242629045092687e+07,-6.089203178932578453e-03
2.692521158597822487e+07,-6.177165931085859540e-03
2.872017969302521646e+07,-6.262335194461954302e-03
3.063480927404160053e+07,-6.344799696403669031e-03
3.267707755619721115e+07,-6.424645342255175251e-03
3.485549356817834824e+07,-6.501955311558837991e-03
3.717913359271377325e+07,-6.576810138976263431e-03
3.965767898254143447e+07,-6.649287801955949817e-03
4.230145649737589806e+07,-6.719463800402003528e-03
4.512148132993718982e+07,-6.787411235858797909e-03
4.812950300030843914e+07,-6.853200887021237975e-03
5.133805430983904749e+07,-6.916901285787702136e-03
5.476050355855716020e+07,-6.978578784556432879e-03
5.841111024365490675e+07,-7.038297630781009673e-03
6.230508447110970318e+07,-7.096120029289387787e-03
6.645865032797951251e+07,-7.152106210950748277e-03
7.088911347940872610e+07,-7.206314489174303617e-03
7.561493327198699117e+07,-7.258801329692587956e-03
8.065579964387412369e+07,-7.309621401999422119e-03
8.603271516213582456e+07,-7.358827639948550825e-03
9.176808252909524739e+07,-7.406471297144001653e-03
9.788579792229065299e+07,-7.452601996912555649e-03
1.044113505569397360e+08,-7.497267787892170077e-03
1.113719288857281953e+08,-7.540515192786756415e-03
1.187965338784067780e+08,-7.582389255897936664e-03
1.267160998531648368e+08,-7.622933591108882467e-03
1.351636233632222116e+08,-7.662190426995785231e-03
1.441743006756430268e+08,-7.700200651040489674e-03
1.537856744151661396e+08,-7.737003852072987797e-03
1.640377899840442538e+08,-7.772638361480233016e-03
1.749733624095979631e+08,-7.807141293222130685e-03
1.866379543146648109e+08,-7.840548582665363142e-03
1.990801657524307966e+08,-7.872895023552928251e-03
2.123518366965998411e+08,-7.904214304990553330e-03
2.265082630305625498e+08,-7.934539045699295912e-03
2.416084269354653060e+08,-7.963900828974246338e-03
2.577152426371036470e+08,-7.992330234664279942e-03
2.748958185355079174e+08,-8.019856871143815624e-03
2.932217368093966246e+08,-8.046509407298785277e-03
3.127693516604496241e+08,-8.072315600762713927e-03
3.336201074400112033e+08,-8.097302328195610244e-03
3.558608779837155342e+08,-8.121495612277485066e-03
3.795843285678207278e+08,-8.144920649334252971e-03
4.048893019953604341e+08,-8.167601835428861534e-03
4.318812304207136035e+08,-8.189562792534132996e-03
4.606725746284253597e+08,-8.210826391541026226e-03
4.913832925965580940e+08,-8.231414777310597231e-03
5.241413392967711091e+08,-8.251349391544593459e-03
5.590831998135731220e+08,-8.270650995326533916e-03
5.963544580039347410e+08,-8.289339689824259949e-03
6.361104030665826797e+08,-8.307434937945501474e-03
